,Rank,Days,frame,idle duration,idle clips,idle average,marking duration,marking clips,marking average,injection duration,injection clips,injection average,dissection duration,dissection clips,dissection average,idle2marking,idle2injection,idle2dissection,marking2idle,marking2injection,marking2dissection,injection2idle,injection2marking,injection2dissection,dissection2idle,dissection2marking,dissection2injection
dissection duration,-0.3261834789664762,-0.34993548970084126,0.941432599552439,0.7440902850941344,0.7956102120093712,-0.4727512859059229,0.26951924854256326,0.10135854188240032,0.308699775165956,0.6129522345463992,0.6810155699745125,-0.28299735323322817,1.0,0.8013664989461237,-0.2989041223114697,-0.47342651161307586,-0.0837118434745466,0.33272494537597974,-0.06351241547662474,,0.23532961200976532,-0.14903692755067577,0.23532961200976543,0.10847097151264644,0.1389759309269534,,0.16797912377797508
dissection clips,-0.5383744030944103,-0.5970207605923701,0.9037373977009097,0.8873493716369898,0.9729636414041232,-0.475476739869747,0.08210078561992798,0.1585836557136673,-0.05063388526106757,0.7387287839071626,0.7988395850240235,-0.32511500598001575,0.8013664989461237,1.0,-0.48338765028562475,-0.4736109124585182,-0.09052852251332426,0.33849835373602194,-0.07512013962140404,,0.36254902448597925,-0.2583838807047526,0.3625490244859798,0.19761869351456865,0.14733010736159058,,0.28622246873346907
dissection average,0.26941065273981435,0.30105285414226907,-0.3694785439337779,-0.38773352406336503,-0.4646032749873405,0.5055320982435207,-0.06455655431078283,-0.05776518233774552,-0.016495086174456032,-0.32695186775146734,-0.3667066261547595,0.40866840445391217,-0.2989041223114697,-0.48338765028562475,1.0,0.645460581390212,0.08572868590860723,-0.4300022085652866,0.018986917002223772,,-0.10856675062294166,0.12988803464641407,-0.10856675062294177,-0.1148500060213216,-0.8025043944605422,,-0.13577224521737494
idle2marking,0.22000797955148427,0.27480034325447517,-0.4592697057246636,-0.39858699030531086,-0.43389494127587097,0.23044212724432953,0.21439047618932083,0.4709022522406351,-0.27241356411135775,-0.34833890598581096,-0.3576053366456884,0.11449225510751516,-0.47342651161307586,-0.4736109124585182,0.645460581390212,1.0,-0.0009681212889362575,-0.5548950505789587,0.5664258876795014,,-0.12822040082991565,0.1087315133018293,-0.12822040082991593,-0.08828459112058404,-0.5847389702627396,,-0.11776681715104494
idle2injection,-0.41119407785766127,-0.32860814719114234,0.011410092152494972,0.02694932782695783,0.0952879910868743,-0.04386368851842685,-0.08172064109485283,0.10094636726987233,-0.19779332219089293,0.4118186961829054,0.4371010066982921,-0.1309030338589112,-0.0837118434745466,-0.09052852251332426,0.08572868590860723,-0.0009681212889362575,1.0,-0.831382762899646,-0.1638349766937551,,0.022030046583246598,0.07861283719607574,0.022030046583246626,-0.08797748527883882,-0.07513887702912642,,-0.07251723408357742
idle2dissection,0.21982235155389646,0.12066926110346211,0.24572409009233415,0.19907526520921354,0.16184355759969002,-0.09156568140813999,-0.05115178736421864,-0.3456599712378907,0.30133913219005576,-0.14902843083166759,-0.164911949820612,0.045277552114920704,0.33272494537597974,0.33849835373602194,-0.4300022085652866,-0.5548950505789587,-0.831382762899646,1.0,-0.17846540469437525,,0.05292488169918011,-0.1258218013033095,0.052924881699180165,0.12225008247132997,0.38744930016274787,,0.125771665022217
marking2idle,0.1269029812409658,0.21150616212459028,-0.020717204394178533,-0.02715625704559256,-0.038750949504313514,-0.13850847214815365,0.7544559069324784,0.7761119256184607,0.30885200444788596,-0.03219245130656014,-0.06195425513154143,-0.04116624035264267,-0.06351241547662474,-0.07512013962140404,0.018986917002223772,0.5664258876795014,-0.1638349766937551,-0.17846540469437525,1.0,,-0.22636748005145207,0.0009078866944728247,-0.22636748005145216,0.046680753556472665,-0.0936773892838681,,-0.02578062661879881
marking2injection,,,,,,,,,,,,,,,,,,,,,,,,,,,
marking2dissection,-0.21739130434782605,-0.2598394726303504,0.2647110233996599,0.2604898419630328,0.33083148047305194,-0.0952509167094001,-0.17078428246223826,0.028003161424233466,-0.30885200444788596,0.26831477820186406,0.32098067251074053,-0.088497646257431,0.23532961200976532,0.36254902448597925,-0.10856675062294166,-0.12822040082991565,0.022030046583246598,0.05292488169918011,-0.22636748005145207,,1.0,-0.3769163865489117,0.9999999999999987,0.18911669997835132,-0.019118977207386846,,0.4693810736047866
injection2idle,-0.0043158364872012515,0.019673532467565723,-0.1333733129720259,-0.08936315885837129,-0.20085423656084977,0.1402818591558744,-0.030508653697499628,-0.037062833521719414,0.0331425329268216,-0.09690145698235639,-0.1733695111287664,0.1382756614580644,-0.14903692755067577,-0.2583838807047526,0.12988803464641407,0.1087315133018293,0.07861283719607574,-0.1258218013033095,0.0009078866944728247,,-0.3769163865489117,1.0,-0.3769163865489091,-0.9808139854686716,0.05780035143157594,,-0.9947897909516695
injection2marking,-0.21739130434782622,-0.2598394726303506,0.26471102339966,0.26048984196303304,0.33083148047305205,-0.09525091670940017,-0.17078428246223837,0.028003161424233442,-0.30885200444788574,0.2683147782018642,0.3209806725107408,-0.08849764625743108,0.23532961200976543,0.3625490244859798,-0.10856675062294177,-0.12822040082991593,0.022030046583246626,0.052924881699180165,-0.22636748005145216,,0.9999999999999987,-0.3769163865489091,1.0,0.1891166999783515,-0.019118977207386874,,0.4693810736047861
injection2dissection,0.0503294443490773,0.033831287651141434,0.08568143537629652,0.03991280270525351,0.14330458806379,-0.1286715115054772,0.0682882633533592,0.033398119382374636,0.03003189591856693,0.046257573764868526,0.11624013319317197,-0.1279660062501428,0.10847097151264644,0.19761869351456865,-0.1148500060213216,-0.08828459112058404,-0.08797748527883882,0.12225008247132997,0.046680753556472665,,0.18911669997835132,-0.9808139854686716,0.1891166999783515,1.0,-0.05725269643319728,,0.9558295066977167
dissection2idle,0.0125801448539312,-0.028503108141774185,0.15542017947423092,0.15455182205068624,0.1447993860540755,-0.1634528005606913,0.0054678947866491035,-0.031311464224289536,0.07374571386074472,0.12109788521194974,0.11376839136412016,-0.0949065094866826,0.1389759309269534,0.14733010736159058,-0.8025043944605422,-0.5847389702627396,-0.07513887702912642,0.38744930016274787,-0.0936773892838681,,-0.019118977207386846,0.05780035143157594,-0.019118977207386874,-0.05725269643319728,1.0,,-0.05720566473399682
dissection2marking,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissection2injection,-0.019812865160863478,-0.04735409553796183,0.15628079433727463,0.11386111239155015,0.22788820935893225,-0.1442151177122649,0.010286666513719744,0.038414333371162616,-0.06573238920878494,0.12190865738280506,0.20060266804519833,-0.1415593017963357,0.16797912377797508,0.28622246873346907,-0.13577224521737494,-0.11776681715104494,-0.07251723408357742,0.125771665022217,-0.02578062661879881,,0.4693810736047866,-0.9947897909516695,0.4693810736047861,0.9558295066977167,-0.05720566473399682,,1.0
